AREA,area_name,OCC_CODE,occupation_name,OCC_TITLE,total_employment,hourly_mean_wage,annual_mean_wage,hourly_median_wage,annual_median_wage,wage_10th_percentile_annual,wage_25th_percentile_annual,wage_75th_percentile_annual,wage_90th_percentile_annual,data_year,collection_date,wage_category,labor_cost_level
24580,Green Bay Msa,11-1021,General Managers,General and Operations Managers,3675,44.76,93100,41.18,85652,60515,74480,116375,139650,2020,2025-06-27 19:46:15.043314,High,High Cost
24580,Green Bay Msa,11-9051,Food Service Managers,Food Service Managers,1176,24.5,50960,22.54,46883,33124,40768,63700,76440,2020,2025-06-27 19:46:15.043324,Middle,Moderate Cost
24580,Green Bay Msa,11-9081,Retail Managers,Retail Sales Managers,1764,22.62,47040,20.81,43276,30576,37632,58800,70560,2020,2025-06-27 19:46:15.043336,Low-Middle,Moderate Cost
24580,Green Bay Msa,11-9021,Construction Managers,Construction Managers,514,40.99,85260,37.71,78439,55419,68208,106575,127890,2020,2025-06-27 19:46:15.043347,High,High Cost
24580,Green Bay Msa,29-1141,Registered Nurses,Registered Nurses,9555,34.39,71540,31.64,65816,46501,57232,89425,107310,2020,2025-06-27 19:46:15.043357,Middle,High Cost
24580,Green Bay Msa,31-9092,Medical Assistants,Medical Assistants,2646,16.96,35280,15.6,32457,22932,28224,44100,52920,2020,2025-06-27 19:46:15.043368,Low-Middle,Low Cost
24580,Green Bay Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,5145,13.19,27440,12.14,25244,17836,21952,34300,41160,2020,2025-06-27 19:46:15.043378,Low-Middle,Low Cost
24580,Green Bay Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6615,11.78,24500,10.84,22540,15925,19600,30625,36750,2020,2025-06-27 19:46:15.043388,Low,Low Cost
24580,Green Bay Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7644,11.31,23520,10.4,21638,15288,18816,29400,35280,2020,2025-06-27 19:46:15.043399,Low,Low Cost
24580,Green Bay Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",4116,13.19,27440,12.14,25244,17836,21952,34300,41160,2020,2025-06-27 19:46:15.043409,Low-Middle,Low Cost
24580,Green Bay Msa,35-3011,Bartenders,Bartenders,2205,12.25,25480,11.27,23441,16562,20384,31850,38220,2020,2025-06-27 19:46:15.043419,Low,Low Cost
24580,Green Bay Msa,41-2031,Retail Salespersons,Retail Salespersons,12495,14.13,29400,13.0,27048,19110,23520,36750,44100,2020,2025-06-27 19:46:15.043429,Low-Middle,Low Cost
24580,Green Bay Msa,41-2011,Cashiers,Cashiers,13965,11.31,23520,10.4,21638,15288,18816,29400,35280,2020,2025-06-27 19:46:15.043440,Low,Low Cost
24580,Green Bay Msa,43-4051,Customer Service Reps,Customer Service Representatives,6174,16.96,35280,15.6,32457,22932,28224,44100,52920,2020,2025-06-27 19:46:15.043450,Low-Middle,Low Cost
24580,Green Bay Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1249,15.08,31360,13.87,28851,20384,25088,39200,47040,2020,2025-06-27 19:46:15.043460,Low-Middle,Low Cost
24580,Green Bay Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,808,17.9,37240,16.47,34260,24206,29792,46550,55860,2020,2025-06-27 19:46:15.043470,Low-Middle,Low Cost
24580,Green Bay Msa,39-9011,Childcare Workers,Childcare Workers,3675,12.25,25480,11.27,23441,16562,20384,31850,38220,2020,2025-06-27 19:46:15.043481,Low,Low Cost
24580,Green Bay Msa,47-2031,Carpenters,Carpenters,2646,24.5,50960,22.54,46883,33124,40768,63700,76440,2020,2025-06-27 19:46:15.043490,Middle,Moderate Cost
24580,Green Bay Msa,47-2111,Electricians,Electricians,1764,29.21,60760,26.87,55899,39494,48608,75950,91140,2020,2025-06-27 19:46:15.043498,Middle,Moderate Cost
24580,Green Bay Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1249,27.33,56840,25.14,52292,36946,45472,71050,85260,2020,2025-06-27 19:46:15.043507,Middle,Moderate Cost
24580,Green Bay Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,2058,21.2,44100,19.51,40572,28665,35280,55125,66150,2020,2025-06-27 19:46:15.043528,Low-Middle,Moderate Cost
24580,Green Bay Msa,13-2011,Accountants,Accountants and Auditors,3234,32.04,66640,29.48,61308,43316,53312,83300,99960,2020,2025-06-27 19:46:15.043537,Middle,High Cost
24580,Green Bay Msa,15-1252,Software Developers,Software Developers,2205,40.05,83300,36.84,76636,54145,66640,104125,124950,2020,2025-06-27 19:46:15.043546,High,High Cost
24580,Green Bay Msa,13-1161,Marketing Specialists,Marketing Specialists,1764,27.33,56840,25.14,52292,36946,45472,71050,85260,2020,2025-06-27 19:46:15.043555,Middle,Moderate Cost
24580,Green Bay Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1176,24.5,50960,22.54,46883,33124,40768,63700,76440,2020,2025-06-27 19:46:15.043564,Middle,Moderate Cost
10900,Appleton Msa,11-1021,General Managers,General and Operations Managers,3675,44.76,93100,41.18,85652,60515,74480,116375,139650,2020,2025-06-27 19:46:15.043574,High,High Cost
10900,Appleton Msa,11-9051,Food Service Managers,Food Service Managers,1176,24.5,50960,22.54,46883,33124,40768,63700,76440,2020,2025-06-27 19:46:15.043583,Middle,Moderate Cost
10900,Appleton Msa,11-9081,Retail Managers,Retail Sales Managers,1764,22.62,47040,20.81,43276,30576,37632,58800,70560,2020,2025-06-27 19:46:15.043592,Low-Middle,Moderate Cost
10900,Appleton Msa,11-9021,Construction Managers,Construction Managers,514,40.99,85260,37.71,78439,55419,68208,106575,127890,2020,2025-06-27 19:46:15.043602,High,High Cost
10900,Appleton Msa,29-1141,Registered Nurses,Registered Nurses,9555,34.39,71540,31.64,65816,46501,57232,89425,107310,2020,2025-06-27 19:46:15.043610,Middle,High Cost
10900,Appleton Msa,31-9092,Medical Assistants,Medical Assistants,2646,16.96,35280,15.6,32457,22932,28224,44100,52920,2020,2025-06-27 19:46:15.043620,Low-Middle,Low Cost
10900,Appleton Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,5145,13.19,27440,12.14,25244,17836,21952,34300,41160,2020,2025-06-27 19:46:15.043629,Low-Middle,Low Cost
10900,Appleton Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6615,11.78,24500,10.84,22540,15925,19600,30625,36750,2020,2025-06-27 19:46:15.043639,Low,Low Cost
10900,Appleton Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7644,11.31,23520,10.4,21638,15288,18816,29400,35280,2020,2025-06-27 19:46:15.043647,Low,Low Cost
10900,Appleton Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",4116,13.19,27440,12.14,25244,17836,21952,34300,41160,2020,2025-06-27 19:46:15.043657,Low-Middle,Low Cost
10900,Appleton Msa,35-3011,Bartenders,Bartenders,2205,12.25,25480,11.27,23441,16562,20384,31850,38220,2020,2025-06-27 19:46:15.043666,Low,Low Cost
10900,Appleton Msa,41-2031,Retail Salespersons,Retail Salespersons,12495,14.13,29400,13.0,27048,19110,23520,36750,44100,2020,2025-06-27 19:46:15.043675,Low-Middle,Low Cost
10900,Appleton Msa,41-2011,Cashiers,Cashiers,13965,11.31,23520,10.4,21638,15288,18816,29400,35280,2020,2025-06-27 19:46:15.043684,Low,Low Cost
10900,Appleton Msa,43-4051,Customer Service Reps,Customer Service Representatives,6174,16.96,35280,15.6,32457,22932,28224,44100,52920,2020,2025-06-27 19:46:15.043693,Low-Middle,Low Cost
10900,Appleton Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1249,15.08,31360,13.87,28851,20384,25088,39200,47040,2020,2025-06-27 19:46:15.043701,Low-Middle,Low Cost
10900,Appleton Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,808,17.9,37240,16.47,34260,24206,29792,46550,55860,2020,2025-06-27 19:46:15.043711,Low-Middle,Low Cost
10900,Appleton Msa,39-9011,Childcare Workers,Childcare Workers,3675,12.25,25480,11.27,23441,16562,20384,31850,38220,2020,2025-06-27 19:46:15.043720,Low,Low Cost
10900,Appleton Msa,47-2031,Carpenters,Carpenters,2646,24.5,50960,22.54,46883,33124,40768,63700,76440,2020,2025-06-27 19:46:15.043728,Middle,Moderate Cost
10900,Appleton Msa,47-2111,Electricians,Electricians,1764,29.21,60760,26.87,55899,39494,48608,75950,91140,2020,2025-06-27 19:46:15.043737,Middle,Moderate Cost
10900,Appleton Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1249,27.33,56840,25.14,52292,36946,45472,71050,85260,2020,2025-06-27 19:46:15.043746,Middle,Moderate Cost
10900,Appleton Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,2058,21.2,44100,19.51,40572,28665,35280,55125,66150,2020,2025-06-27 19:46:15.043755,Low-Middle,Moderate Cost
10900,Appleton Msa,13-2011,Accountants,Accountants and Auditors,3234,32.04,66640,29.48,61308,43316,53312,83300,99960,2020,2025-06-27 19:46:15.043764,Middle,High Cost
10900,Appleton Msa,15-1252,Software Developers,Software Developers,2205,40.05,83300,36.84,76636,54145,66640,104125,124950,2020,2025-06-27 19:46:15.043773,High,High Cost
10900,Appleton Msa,13-1161,Marketing Specialists,Marketing Specialists,1764,27.33,56840,25.14,52292,36946,45472,71050,85260,2020,2025-06-27 19:46:15.043783,Middle,Moderate Cost
10900,Appleton Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1176,24.5,50960,22.54,46883,33124,40768,63700,76440,2020,2025-06-27 19:46:15.043792,Middle,Moderate Cost
18580,Eau Claire Msa,11-1021,General Managers,General and Operations Managers,3562,43.39,90250,39.92,83030,58662,72200,112812,135375,2020,2025-06-27 19:46:15.043802,High,High Cost
18580,Eau Claire Msa,11-9051,Food Service Managers,Food Service Managers,1140,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.043811,Middle,Moderate Cost
18580,Eau Claire Msa,11-9081,Retail Managers,Retail Sales Managers,1710,21.92,45600,20.17,41952,29640,36480,57000,68400,2020,2025-06-27 19:46:15.043820,Low-Middle,Moderate Cost
18580,Eau Claire Msa,11-9021,Construction Managers,Construction Managers,498,39.74,82650,36.56,76038,53722,66120,103312,123975,2020,2025-06-27 19:46:15.043829,High,High Cost
18580,Eau Claire Msa,29-1141,Registered Nurses,Registered Nurses,9262,33.34,69350,30.67,63802,45077,55480,86687,104025,2020,2025-06-27 19:46:15.043838,Middle,High Cost
18580,Eau Claire Msa,31-9092,Medical Assistants,Medical Assistants,2565,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.043848,Low-Middle,Low Cost
18580,Eau Claire Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,4987,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.043857,Low,Low Cost
18580,Eau Claire Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6412,11.42,23750,10.5,21850,15437,19000,29687,35625,2020,2025-06-27 19:46:15.043866,Low,Low Cost
18580,Eau Claire Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7410,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.043875,Low,Low Cost
18580,Eau Claire Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",3990,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.043883,Low,Low Cost
18580,Eau Claire Msa,35-3011,Bartenders,Bartenders,2137,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.043894,Low,Low Cost
18580,Eau Claire Msa,41-2031,Retail Salespersons,Retail Salespersons,12112,13.7,28500,12.61,26220,18525,22800,35625,42750,2020,2025-06-27 19:46:15.043903,Low-Middle,Low Cost
18580,Eau Claire Msa,41-2011,Cashiers,Cashiers,13537,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.043911,Low,Low Cost
18580,Eau Claire Msa,43-4051,Customer Service Reps,Customer Service Representatives,5985,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.043920,Low-Middle,Low Cost
18580,Eau Claire Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1211,14.62,30400,13.45,27968,19760,24320,38000,45600,2020,2025-06-27 19:46:15.043928,Low-Middle,Low Cost
18580,Eau Claire Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,783,17.36,36100,15.97,33212,23465,28880,45125,54150,2020,2025-06-27 19:46:15.043937,Low-Middle,Low Cost
18580,Eau Claire Msa,39-9011,Childcare Workers,Childcare Workers,3562,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.043947,Low,Low Cost
18580,Eau Claire Msa,47-2031,Carpenters,Carpenters,2565,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.043955,Middle,Moderate Cost
18580,Eau Claire Msa,47-2111,Electricians,Electricians,1710,28.32,58900,26.05,54188,38285,47120,73625,88350,2020,2025-06-27 19:46:15.043964,Middle,Moderate Cost
18580,Eau Claire Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1211,26.49,55100,24.37,50692,35815,44080,68875,82650,2020,2025-06-27 19:46:15.043973,Middle,Moderate Cost
18580,Eau Claire Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,1995,20.55,42750,18.91,39330,27787,34200,53437,64125,2020,2025-06-27 19:46:15.043982,Low-Middle,Moderate Cost
18580,Eau Claire Msa,13-2011,Accountants,Accountants and Auditors,3135,31.06,64600,28.57,59432,41990,51680,80750,96900,2020,2025-06-27 19:46:15.043991,Middle,Moderate Cost
18580,Eau Claire Msa,15-1252,Software Developers,Software Developers,2137,38.82,80750,35.72,74290,52487,64600,100937,121125,2020,2025-06-27 19:46:15.044002,Middle,High Cost
18580,Eau Claire Msa,13-1161,Marketing Specialists,Marketing Specialists,1710,26.49,55100,24.37,50692,35815,44080,68875,82650,2020,2025-06-27 19:46:15.044011,Middle,Moderate Cost
18580,Eau Claire Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1140,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044021,Middle,Moderate Cost
48580,Wausau Msa,11-1021,General Managers,General and Operations Managers,3562,43.39,90250,39.92,83030,58662,72200,112812,135375,2020,2025-06-27 19:46:15.044031,High,High Cost
48580,Wausau Msa,11-9051,Food Service Managers,Food Service Managers,1140,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044039,Middle,Moderate Cost
48580,Wausau Msa,11-9081,Retail Managers,Retail Sales Managers,1710,21.92,45600,20.17,41952,29640,36480,57000,68400,2020,2025-06-27 19:46:15.044049,Low-Middle,Moderate Cost
48580,Wausau Msa,11-9021,Construction Managers,Construction Managers,498,39.74,82650,36.56,76038,53722,66120,103312,123975,2020,2025-06-27 19:46:15.044058,High,High Cost
48580,Wausau Msa,29-1141,Registered Nurses,Registered Nurses,9262,33.34,69350,30.67,63802,45077,55480,86687,104025,2020,2025-06-27 19:46:15.044067,Middle,High Cost
48580,Wausau Msa,31-9092,Medical Assistants,Medical Assistants,2565,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.044076,Low-Middle,Low Cost
48580,Wausau Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,4987,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.044085,Low,Low Cost
48580,Wausau Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6412,11.42,23750,10.5,21850,15437,19000,29687,35625,2020,2025-06-27 19:46:15.044095,Low,Low Cost
48580,Wausau Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7410,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.044104,Low,Low Cost
48580,Wausau Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",3990,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.044113,Low,Low Cost
48580,Wausau Msa,35-3011,Bartenders,Bartenders,2137,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.044123,Low,Low Cost
48580,Wausau Msa,41-2031,Retail Salespersons,Retail Salespersons,12112,13.7,28500,12.61,26220,18525,22800,35625,42750,2020,2025-06-27 19:46:15.044133,Low-Middle,Low Cost
48580,Wausau Msa,41-2011,Cashiers,Cashiers,13537,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.044141,Low,Low Cost
48580,Wausau Msa,43-4051,Customer Service Reps,Customer Service Representatives,5985,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.044151,Low-Middle,Low Cost
48580,Wausau Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1211,14.62,30400,13.45,27968,19760,24320,38000,45600,2020,2025-06-27 19:46:15.044159,Low-Middle,Low Cost
48580,Wausau Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,783,17.36,36100,15.97,33212,23465,28880,45125,54150,2020,2025-06-27 19:46:15.044169,Low-Middle,Low Cost
48580,Wausau Msa,39-9011,Childcare Workers,Childcare Workers,3562,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.044178,Low,Low Cost
48580,Wausau Msa,47-2031,Carpenters,Carpenters,2565,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044186,Middle,Moderate Cost
48580,Wausau Msa,47-2111,Electricians,Electricians,1710,28.32,58900,26.05,54188,38285,47120,73625,88350,2020,2025-06-27 19:46:15.044195,Middle,Moderate Cost
48580,Wausau Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1211,26.49,55100,24.37,50692,35815,44080,68875,82650,2020,2025-06-27 19:46:15.044204,Middle,Moderate Cost
48580,Wausau Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,1995,20.55,42750,18.91,39330,27787,34200,53437,64125,2020,2025-06-27 19:46:15.044213,Low-Middle,Moderate Cost
48580,Wausau Msa,13-2011,Accountants,Accountants and Auditors,3135,31.06,64600,28.57,59432,41990,51680,80750,96900,2020,2025-06-27 19:46:15.044222,Middle,Moderate Cost
48580,Wausau Msa,15-1252,Software Developers,Software Developers,2137,38.82,80750,35.72,74290,52487,64600,100937,121125,2020,2025-06-27 19:46:15.044231,Middle,High Cost
48580,Wausau Msa,13-1161,Marketing Specialists,Marketing Specialists,1710,26.49,55100,24.37,50692,35815,44080,68875,82650,2020,2025-06-27 19:46:15.044241,Middle,Moderate Cost
48580,Wausau Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1140,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044250,Middle,Moderate Cost
36780,Oshkosh Msa,11-1021,General Managers,General and Operations Managers,3562,43.39,90250,39.92,83030,58662,72200,112812,135375,2020,2025-06-27 19:46:15.044259,High,High Cost
36780,Oshkosh Msa,11-9051,Food Service Managers,Food Service Managers,1140,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044268,Middle,Moderate Cost
36780,Oshkosh Msa,11-9081,Retail Managers,Retail Sales Managers,1710,21.92,45600,20.17,41952,29640,36480,57000,68400,2020,2025-06-27 19:46:15.044286,Low-Middle,Moderate Cost
36780,Oshkosh Msa,11-9021,Construction Managers,Construction Managers,498,39.74,82650,36.56,76038,53722,66120,103312,123975,2020,2025-06-27 19:46:15.044295,High,High Cost
36780,Oshkosh Msa,29-1141,Registered Nurses,Registered Nurses,9262,33.34,69350,30.67,63802,45077,55480,86687,104025,2020,2025-06-27 19:46:15.044304,Middle,High Cost
36780,Oshkosh Msa,31-9092,Medical Assistants,Medical Assistants,2565,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.044313,Low-Middle,Low Cost
36780,Oshkosh Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,4987,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.044322,Low,Low Cost
36780,Oshkosh Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6412,11.42,23750,10.5,21850,15437,19000,29687,35625,2020,2025-06-27 19:46:15.044330,Low,Low Cost
36780,Oshkosh Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7410,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.044339,Low,Low Cost
36780,Oshkosh Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",3990,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.044347,Low,Low Cost
36780,Oshkosh Msa,35-3011,Bartenders,Bartenders,2137,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.044357,Low,Low Cost
36780,Oshkosh Msa,41-2031,Retail Salespersons,Retail Salespersons,12112,13.7,28500,12.61,26220,18525,22800,35625,42750,2020,2025-06-27 19:46:15.044365,Low-Middle,Low Cost
36780,Oshkosh Msa,41-2011,Cashiers,Cashiers,13537,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.044374,Low,Low Cost
36780,Oshkosh Msa,43-4051,Customer Service Reps,Customer Service Representatives,5985,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.044383,Low-Middle,Low Cost
36780,Oshkosh Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1211,14.62,30400,13.45,27968,19760,24320,38000,45600,2020,2025-06-27 19:46:15.044392,Low-Middle,Low Cost
36780,Oshkosh Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,783,17.36,36100,15.97,33212,23465,28880,45125,54150,2020,2025-06-27 19:46:15.044404,Low-Middle,Low Cost
36780,Oshkosh Msa,39-9011,Childcare Workers,Childcare Workers,3562,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.044413,Low,Low Cost
36780,Oshkosh Msa,47-2031,Carpenters,Carpenters,2565,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044422,Middle,Moderate Cost
36780,Oshkosh Msa,47-2111,Electricians,Electricians,1710,28.32,58900,26.05,54188,38285,47120,73625,88350,2020,2025-06-27 19:46:15.044431,Middle,Moderate Cost
36780,Oshkosh Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1211,26.49,55100,24.37,50692,35815,44080,68875,82650,2020,2025-06-27 19:46:15.044440,Middle,Moderate Cost
36780,Oshkosh Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,1995,20.55,42750,18.91,39330,27787,34200,53437,64125,2020,2025-06-27 19:46:15.044449,Low-Middle,Moderate Cost
36780,Oshkosh Msa,13-2011,Accountants,Accountants and Auditors,3135,31.06,64600,28.57,59432,41990,51680,80750,96900,2020,2025-06-27 19:46:15.044458,Middle,Moderate Cost
36780,Oshkosh Msa,15-1252,Software Developers,Software Developers,2137,38.82,80750,35.72,74290,52487,64600,100937,121125,2020,2025-06-27 19:46:15.044467,Middle,High Cost
36780,Oshkosh Msa,13-1161,Marketing Specialists,Marketing Specialists,1710,26.49,55100,24.37,50692,35815,44080,68875,82650,2020,2025-06-27 19:46:15.044476,Middle,Moderate Cost
36780,Oshkosh Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1140,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044484,Middle,Moderate Cost
27500,Janesville Msa,11-1021,General Managers,General and Operations Managers,3562,43.39,90250,39.92,83030,58662,72200,112812,135375,2020,2025-06-27 19:46:15.044493,High,High Cost
27500,Janesville Msa,11-9051,Food Service Managers,Food Service Managers,1140,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044500,Middle,Moderate Cost
27500,Janesville Msa,11-9081,Retail Managers,Retail Sales Managers,1710,21.92,45600,20.17,41952,29640,36480,57000,68400,2020,2025-06-27 19:46:15.044509,Low-Middle,Moderate Cost
27500,Janesville Msa,11-9021,Construction Managers,Construction Managers,498,39.74,82650,36.56,76038,53722,66120,103312,123975,2020,2025-06-27 19:46:15.044780,High,High Cost
27500,Janesville Msa,29-1141,Registered Nurses,Registered Nurses,9262,33.34,69350,30.67,63802,45077,55480,86687,104025,2020,2025-06-27 19:46:15.044790,Middle,High Cost
27500,Janesville Msa,31-9092,Medical Assistants,Medical Assistants,2565,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.044799,Low-Middle,Low Cost
27500,Janesville Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,4987,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.044807,Low,Low Cost
27500,Janesville Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6412,11.42,23750,10.5,21850,15437,19000,29687,35625,2020,2025-06-27 19:46:15.044814,Low,Low Cost
27500,Janesville Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7410,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.044822,Low,Low Cost
27500,Janesville Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",3990,12.79,26600,11.77,24472,17290,21280,33250,39900,2020,2025-06-27 19:46:15.044829,Low,Low Cost
27500,Janesville Msa,35-3011,Bartenders,Bartenders,2137,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.044836,Low,Low Cost
27500,Janesville Msa,41-2031,Retail Salespersons,Retail Salespersons,12112,13.7,28500,12.61,26220,18525,22800,35625,42750,2020,2025-06-27 19:46:15.044843,Low-Middle,Low Cost
27500,Janesville Msa,41-2011,Cashiers,Cashiers,13537,10.96,22800,10.08,20976,14820,18240,28500,34200,2020,2025-06-27 19:46:15.044850,Low,Low Cost
27500,Janesville Msa,43-4051,Customer Service Reps,Customer Service Representatives,5985,16.44,34200,15.13,31464,22230,27360,42750,51300,2020,2025-06-27 19:46:15.044858,Low-Middle,Low Cost
27500,Janesville Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1211,14.62,30400,13.45,27968,19760,24320,38000,45600,2020,2025-06-27 19:46:15.044865,Low-Middle,Low Cost
27500,Janesville Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,783,17.36,36100,15.97,33212,23465,28880,45125,54150,2020,2025-06-27 19:46:15.044872,Low-Middle,Low Cost
27500,Janesville Msa,39-9011,Childcare Workers,Childcare Workers,3562,11.88,24700,10.93,22724,16055,19760,30875,37050,2020,2025-06-27 19:46:15.044880,Low,Low Cost
27500,Janesville Msa,47-2031,Carpenters,Carpenters,2565,23.75,49400,21.85,45448,32110,39520,61750,74100,2020,2025-06-27 19:46:15.044887,Middle,Moderate Cost
27500,Janesville Msa,47-2111,Electricians,Electricians,1710,28.32,58900,26.05,54188,38285,47120,73625,88350,2020,2025-06-27 19:46:15.044895,Middle,Moderate Cost
27500,Janesville Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1211,26.49,55100,24.37,50692,35815,44080,68875,82650,2020,2025-06-27 19:46:15.044902,Middle,Moderate Cost
27500,Janesville Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,1995,20.55,42750,18.91,39330,27787,34200,53437,64125,2020,2025-06-27 19:46:15.044909,Low-Middle,Moderate Cost
